path,label
file:/content/archive/Train/H/9162_H.jpg,H
file:/content/archive/Train/H/11135_H.jpg,H
file:/content/archive/Train/H/3250_H.jpg,H
file:/content/archive/Train/H/4494_H.jpg,H
file:/content/archive/Train/H/23625_H.jpg,H
file:/content/archive/Train/O/93_O.jpg,O
file:/content/archive/Train/H/2392_H.jpg,H
file:/content/archive/Train/H/13299_H.jpg,H
file:/content/archive/Train/H/17631_H.jpg,H
file:/content/archive/Train/A/17937_A.jpg,A
file:/content/archive/Train/G/7581_G.jpg,G
file:/content/archive/Train/H/27413_H.jpg,H
file:/content/archive/Train/A/20274_A.jpg,A
file:/content/archive/Train/H/2430_H.jpg,H
file:/content/archive/Train/H/27152_H.jpg,H
file:/content/archive/Train/H/8445_H.jpg,H
file:/content/archive/Train/H/7810_H.jpg,H
file:/content/archive/Train/A/23525_A.jpg,A
file:/content/archive/Train/A/26698_A.jpg,A
file:/content/archive/Train/H/17074_H.jpg,H
file:/content/archive/Train/H/6053_H.jpg,H
file:/content/archive/Train/A/26478_A.jpg,A
file:/content/archive/Train/A/17307_A.jpg,A
file:/content/archive/Train/G/11804_G.jpg,G
file:/content/archive/Train/G/7697_G.jpg,G
file:/content/archive/Train/O/15433_O.jpg,O
file:/content/archive/Train/O/17659_O.jpg,O
file:/content/archive/Train/H/24235_H.jpg,H
file:/content/archive/Train/A/15750_A.jpg,A
file:/content/archive/Train/H/17494_H.jpg,H
file:/content/archive/Train/H/17589_H.jpg,H
file:/content/archive/Train/G/21944_G.jpg,G
file:/content/archive/Train/H/16999_H.jpg,H
file:/content/archive/Train/A/3704_A.jpg,A
file:/content/archive/Train/C/10322_C.jpg,C
file:/content/archive/Train/G/14563_G.jpg,G
file:/content/archive/Train/G/16906_G.jpg,G
file:/content/archive/Train/H/16546_H.jpg,H
file:/content/archive/Train/H/8978_H.jpg,H
file:/content/archive/Train/A/24725_A.jpg,A
file:/content/archive/Train/C/20093_C.jpg,C
file:/content/archive/Train/H/8278_H.jpg,H
file:/content/archive/Train/G/12307_G.jpg,G
file:/content/archive/Train/L/23075_L.jpg,L
file:/content/archive/Train/O/5405_O.jpg,O
file:/content/archive/Train/Y/15988_Y.jpg,Y
file:/content/archive/Train/G/19149_G.jpg,G
file:/content/archive/Train/G/21138_G.jpg,G
file:/content/archive/Train/H/12774_H.jpg,H
file:/content/archive/Train/N/314_N.jpg,N
file:/content/archive/Train/O/17204_O.jpg,O
file:/content/archive/Train/Y/18712_Y.jpg,Y
file:/content/archive/Train/A/2478_A.jpg,A
file:/content/archive/Train/N/11851_N.jpg,N
file:/content/archive/Train/O/6279_O.jpg,O
file:/content/archive/Train/O/9209_O.jpg,O
file:/content/archive/Train/Q/1390_Q.jpg,Q
file:/content/archive/Train/G/15900_G.jpg,G
file:/content/archive/Train/M/21304_M.jpg,M
file:/content/archive/Train/O/11879_O.jpg,O
file:/content/archive/Train/O/1856_O.jpg,O
file:/content/archive/Train/O/19731_O.jpg,O
file:/content/archive/Train/G/15495_G.jpg,G
file:/content/archive/Train/G/23929_G.jpg,G
file:/content/archive/Train/G/3723_G.jpg,G
file:/content/archive/Train/H/10046_H.jpg,H
file:/content/archive/Train/H/3187_H.jpg,H
file:/content/archive/Train/H/3919_H.jpg,H
file:/content/archive/Train/L/12776_L.jpg,L
file:/content/archive/Train/M/8310_M.jpg,M
file:/content/archive/Train/F/749_F.jpg,F
file:/content/archive/Train/H/14021_H.jpg,H
file:/content/archive/Train/H/24766_H.jpg,H
file:/content/archive/Train/N/6151_N.jpg,N
file:/content/archive/Train/P/8653_P.jpg,P
file:/content/archive/Train/A/4167_A.jpg,A
file:/content/archive/Train/H/17553_H.jpg,H
file:/content/archive/Train/H/23148_H.jpg,H
file:/content/archive/Train/G/25256_G.jpg,G
file:/content/archive/Train/G/27277_G.jpg,G
file:/content/archive/Train/M/1024_M.jpg,M
file:/content/archive/Train/N/4796_N.jpg,N
file:/content/archive/Train/O/11330_O.jpg,O
file:/content/archive/Train/O/18367_O.jpg,O
file:/content/archive/Train/Y/13295_Y.jpg,Y
file:/content/archive/Train/A/24584_A.jpg,A
file:/content/archive/Train/E/21376_E.jpg,E
file:/content/archive/Train/G/13106_G.jpg,G
file:/content/archive/Train/H/15795_H.jpg,H
file:/content/archive/Train/H/23619_H.jpg,H
file:/content/archive/Train/N/1367_N.jpg,N
file:/content/archive/Train/P/15883_P.jpg,P
file:/content/archive/Train/Q/5522_Q.jpg,Q
file:/content/archive/Train/W/15719_W.jpg,W
file:/content/archive/Train/Y/7783_Y.jpg,Y
file:/content/archive/Train/A/27295_A.jpg,A
file:/content/archive/Train/C/13013_C.jpg,C
file:/content/archive/Train/L/26198_L.jpg,L
file:/content/archive/Train/O/22010_O.jpg,O
file:/content/archive/Train/A/7893_A.jpg,A
file:/content/archive/Train/H/3574_H.jpg,H
file:/content/archive/Train/H/5550_H.jpg,H
file:/content/archive/Train/L/16785_L.jpg,L
file:/content/archive/Train/M/25406_M.jpg,M
file:/content/archive/Train/N/13879_N.jpg,N
file:/content/archive/Train/O/11005_O.jpg,O
file:/content/archive/Train/O/1354_O.jpg,O
file:/content/archive/Train/P/591_P.jpg,P
file:/content/archive/Train/X/25019_X.jpg,X
file:/content/archive/Train/Y/6858_Y.jpg,Y
file:/content/archive/Train/H/20941_H.jpg,H
file:/content/archive/Train/H/27191_H.jpg,H
file:/content/archive/Train/L/13549_L.jpg,L
file:/content/archive/Train/L/3925_L.jpg,L
file:/content/archive/Train/N/11241_N.jpg,N
file:/content/archive/Train/N/14930_N.jpg,N
file:/content/archive/Train/O/2343_O.jpg,O
file:/content/archive/Train/Q/22221_Q.jpg,Q
file:/content/archive/Train/Q/3145_Q.jpg,Q
file:/content/archive/Train/X/9295_X.jpg,X
file:/content/archive/Train/A/27365_A.jpg,A
file:/content/archive/Train/A/4140_A.jpg,A
file:/content/archive/Train/C/24188_C.jpg,C
file:/content/archive/Train/C/3_C.jpg,C
file:/content/archive/Train/E/2562_E.jpg,E
file:/content/archive/Train/H/21587_H.jpg,H
file:/content/archive/Train/H/21982_H.jpg,H
file:/content/archive/Train/N/4824_N.jpg,N
file:/content/archive/Train/O/1579_O.jpg,O
file:/content/archive/Train/O/7295_O.jpg,O
file:/content/archive/Train/E/15062_E.jpg,E
file:/content/archive/Train/G/1144_G.jpg,G
file:/content/archive/Train/G/25111_G.jpg,G
file:/content/archive/Train/G/5763_G.jpg,G
file:/content/archive/Train/H/5375_H.jpg,H
file:/content/archive/Train/L/12938_L.jpg,L
file:/content/archive/Train/L/19874_L.jpg,L
file:/content/archive/Train/N/20017_N.jpg,N
file:/content/archive/Train/O/5982_O.jpg,O
file:/content/archive/Train/O/8673_O.jpg,O
file:/content/archive/Train/Q/27178_Q.jpg,Q
file:/content/archive/Train/Y/11269_Y.jpg,Y
file:/content/archive/Train/C/22843_C.jpg,C
file:/content/archive/Train/L/17437_L.jpg,L
file:/content/archive/Train/L/22531_L.jpg,L
file:/content/archive/Train/P/16865_P.jpg,P
file:/content/archive/Train/Q/14164_Q.jpg,Q
file:/content/archive/Train/Q/19185_Q.jpg,Q
file:/content/archive/Train/V/2263_V.jpg,V
file:/content/archive/Train/Y/10421_Y.jpg,Y
file:/content/archive/Train/Y/3565_Y.jpg,Y
file:/content/archive/Train/A/5188_A.jpg,A
file:/content/archive/Train/E/44_E.jpg,E
file:/content/archive/Train/G/15748_G.jpg,G
file:/content/archive/Train/G/22271_G.jpg,G
file:/content/archive/Train/O/10463_O.jpg,O
file:/content/archive/Train/O/11721_O.jpg,O
file:/content/archive/Train/S/2232_S.jpg,S
file:/content/archive/Train/B/4173_B.jpg,B
file:/content/archive/Train/B/5000_B.jpg,B
file:/content/archive/Train/C/17738_C.jpg,C
file:/content/archive/Train/H/5948_H.jpg,H
file:/content/archive/Train/L/15018_L.jpg,L
file:/content/archive/Train/L/19755_L.jpg,L
file:/content/archive/Train/N/7607_N.jpg,N
file:/content/archive/Train/O/17995_O.jpg,O
file:/content/archive/Train/O/9060_O.jpg,O
file:/content/archive/Train/P/23065_P.jpg,P
file:/content/archive/Train/X/25942_X.jpg,X
file:/content/archive/Train/X/2955_X.jpg,X
file:/content/archive/Train/Y/20821_Y.jpg,Y
file:/content/archive/Train/A/11388_A.jpg,A
file:/content/archive/Train/A/8554_A.jpg,A
file:/content/archive/Train/E/18496_E.jpg,E
file:/content/archive/Train/E/7239_E.jpg,E
file:/content/archive/Train/G/11791_G.jpg,G
file:/content/archive/Train/H/20632_H.jpg,H
file:/content/archive/Train/L/20163_L.jpg,L
file:/content/archive/Train/L/8690_L.jpg,L
file:/content/archive/Train/M/10312_M.jpg,M
file:/content/archive/Train/M/12832_M.jpg,M
file:/content/archive/Train/M/22384_M.jpg,M
file:/content/archive/Train/N/14369_N.jpg,N
file:/content/archive/Train/N/17488_N.jpg,N
file:/content/archive/Train/N/4354_N.jpg,N
file:/content/archive/Train/N/7845_N.jpg,N
file:/content/archive/Train/S/12902_S.jpg,S
file:/content/archive/Train/S/26508_S.jpg,S
file:/content/archive/Train/W/9365_W.jpg,W
file:/content/archive/Train/X/22769_X.jpg,X
file:/content/archive/Train/Y/4671_Y.jpg,Y
file:/content/archive/Train/A/2364_A.jpg,A
